District_Name,UnitName,FIR_YEAR,FIR_MONTH,Unnamed: 4,FIR_Day,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,Unnamed: 14,KGID,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Accused Count,Arrested Male,Arrested Female,"Arrested Count	No.",Accused_ChargeSheeted Count,Conviction Count,Unit_ID
Bagalkot,Amengad PS,2016,1,,5,Non Heinous,Dis/Acq,Written,POCSO,Others,16.1028536,75.8638013,"PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 12 IPC 1860 U/s: 306,363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 18 ",,1898733,42900007,"KAMATAGI BUS STAND, KAMATAGI BUS STAND",WEST FROM PS 12 KM,RURAL BEAT NO 13,KAMATAGI,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,1,,12,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),16.1793224,75.6999315,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",,1332599,123600010,"RAKKASAGI VILLEGE IN FRONT MOUNESHWAR TEMPEL, RAKKASAGI VILLEGE IN FRONT MOUNESHWAR TEMPEL",WEST FROM PS 2 KM,RURAL BEAT NO 6,SULEBAVI,5,5,0,5,5,2,1245
Bagalkot,Amengad PS,2016,1,,12,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),16.1793224,75.6999315,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",,1270757,124000015,"RAKKASAGI VILLAEG BUS STAND, RAKKASAGI VILLAEG BUS STAND",EAST FROM PS 3 KM,RURAL BEAT NO 6,SULEBAVI,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,1,,15,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,16.1028536,75.8638013,"IPC 1860 U/s: 338,337,279 ",,1898733,42900007,"BAGALKOT TO AMINAGAD SH-20 ROAD NEAR CHAPI FIELD, BAGALKOT TO AMINAGAD SH-20 ROAD NEAR CHAPI FIELD",WEST FROM PS 14 KM,RURAL BEAT NO 13,KAMATAGI,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,1,,18,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.0978944,75.9479244,"IPC 1860 U/s: 304(A),279 ",,1820048,97500025,"AMBLIKOPPA BUS STAND, AMBLIKOPPA BUS STAND",NORTH FROM 24 KM TOWARDS PS,RURAL BEAT NO 16,MADAPUR,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,1,,19,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16.0978944,75.9479244,"IPC 1860 U/s: 338,279 ",,1898733,42900007,"AMINAGAD BAGALKOT SH 20 ROAD NEAR KABBIN KANI, AMINAGAD BAGALKOT SH 20 ROAD NEAR KABBIN KANI",WEST FROM PS TOWARDS 6 KM,RURAL BEAT NO 16,MADAPUR,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,1,,20,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),16.0553525,75.953146,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",,1898733,42900007,"PATTANASHETTI PETROL PUMP AMINAGAD, PATTANASHETTI PETROL PUMP AMINAGAD",WEST FROM PS TOWARDS 1 KM,AMINAGAD TOWN BEAT NO 1,AMINAGAD,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,1,,20,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),16.0553525,75.953146,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",,1898733,42900007,"AMINAGAD BUS STAND OPPOSITE BALAJI BAR, AMINAGAD BUS STAND OPPOSITE BALAJI BAR",WEST FROM PS TOWARDS 500 MTRS,AMINAGAD TOWN BEAT NO 1,AMINAGAD,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,1,,21,Non Heinous,Pending Trial,Sue-moto by Police,THEFT,Other Items Not Included Above,16.02679,75.883537,"IPC 1860 U/s: 379 MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957 U/s: 21,4(1A),4(1) ",,1016018,188800039,"MIDDLE OF AIHOLE KALIGUDD VILLAGE MALAPRABHA RIVER, MIDDLE OF AIHOLE KALIGUDD VILLAGE MALAPRABHA RIVER",SOUTH FROM PS TOWARDS 11 KM,RURAL BEAT NO 3,AIHOLE,2,2,0,2,2,0,1245
Bagalkot,Amengad PS,2016,1,,22,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),16.02679,75.883537,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",,1016018,188800039,"AIHOLE VILLAGE RAVALAPDE TEMPEL BACK IN PUBLIC, AIHOLE VILLAGE RAVALAPDE TEMPEL BACK IN PUBLIC",SOUTH FROME PS 8 KM,RURAL BEAT NO 3,AIHOLE,5,5,0,5,5,0,1245
Bagalkot,Amengad PS,2016,1,,24,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.6652841,76.1061162,"IPC 1860 U/s: 338,337,283,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",,1898733,42900007,"ILAL VADAGERI ROAD NEAR VADAGERI SCHOOL, ILAL VADAGERI ROAD NEAR VADAGERI SCHOOL",SOUTH FROM PS 20 KM,OP RURAL BEAT NO 28,DAMMUR,2,2,0,2,2,0,1245
Bagalkot,Amengad PS,2016,1,,25,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.1793224,75.6999315,"IPC 1860 U/s: 279,337,338,304(A) ",,1820048,97500025,"GUDUR  BUS STAND, GUDUR  BUS STAND",NORTH FROM PS 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,1,,27,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),16.1793224,75.6999315,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",,1018998,188800009,"GUDUR HULLESHWAR CINIMA THEATER NEAR PUBLIC PLACE, GUDUR HULLESHWAR CINIMA THEATER NEAR PUBLIC PLACE",SOUTH FROM PS 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,2,2,0,2,2,0,1245
Bagalkot,Amengad PS,2016,1,,29,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),16.1028536,75.8638013,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",,644543,188800125,"KAMATAGI VILLAGE BUS STAND, KAMATAGI VILLAGE BUS STAND",WEST FROM PS 14 KM,RURAL BEAT NO 13,KAMATAGI,2,0,0,0,2,0,1245
Bagalkot,Amengad PS,2016,1,,31,Non Heinous,Pending Trial,Written,CRUELTY BY HUSBAND,Husband And Relative(S) In Law ,16.1793224,75.6999315,"IPC 1860 U/s: 149,504,498A,494 CHILD MARRIAGE RESTRAINT ACT U/s: 6,5,4 ",,1898733,42900007,"KALUR VILLAGE ACCUSED HOUSE, KALUR VILLAGE ACCUSED HOUSE",SOUTH FROM PS 9 KM,GUDUR OP BEAT NO 24,UPANAL,9,5,2,7,5,0,1245
Bagalkot,Amengad PS,2016,2,,1,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),16.0553525,75.953146,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",,644543,188800125,"AMINAGAD BUS STAND NEAR, AMINAGAD BUS STAND NEAR",WEST FROM 500 MM,AMINAGAD TOWN BEAT NO 1,AMINAGAD,2,2,0,2,2,0,1245
Bagalkot,Amengad PS,2016,2,,3,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),16.1028536,75.8638013,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",,644543,188800125,"CHIKKAMAGI BUS STAND NEAR, CHIKKAMAGI BUS STAND NEAR",SOUTH FROM PS 15 KM,RURAL BEAT NO 13,KAMATAGI,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,2,,5,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),16.1793224,75.6999315,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",,1018998,188800009,"GUDUR VILLAGE BUS STAND NEAR PUBLIC PLEC, GUDUR VILLAGE BUS STAND NEAR PUBLIC PLEC",SOUTH FROM PS 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,2,,6,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),16.0553525,75.953146,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",,1018998,188800009,"AMINAGAD VILLAGE CHITTARAGI CRASS NEAR PUBLI PLEC, AMINAGAD VILLAGE CHITTARAGI CRASS NEAR PUBLI PLEC",EAST FROM PS 1 KM,AMINAGAD TOWN BEAT NO 1,AMINAGAD,2,2,0,2,2,1,1245
Bagalkot,Amengad PS,2016,2,,6,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),16.1793224,75.6999315,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",,1018998,188800009,"KELUR VILLAGE IN FRONT OF NEELAPPAN TEMPEL PUBLI, KELUR VILLAGE IN FRONT OF NEELAPPAN TEMPEL PUBLI",SOUTH FROM PS 9 K M,GUDUR OP BEAT NO 24,UPANAL,5,5,0,5,5,0,1245
Bagalkot,Amengad PS,2016,2,,8,Non Heinous,Dis/Acq,Written,ATTEMPT TO MURDER,Due To Other Causes  ,15.6652841,76.1061162,"IPC 1860 U/s: 326,307 ",,1898733,42900007,"ILAL VILLAGE ACCUSED FARM HOUSE, ILAL VILLAGE ACCUSED FARM HOUSE",SOUTH FROM PS 20,OP RURAL BEAT NO 28,DAMMUR,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,2,,8,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),16.02679,75.883537,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",,1898733,42900007,"HUVINAHALLI VILLAGE, HUVINAHALLI VILLAGE",WEST FROM PS 15 KM,RURAL BEAT NO 3,AIHOLE,8,0,0,0,8,0,1245
Bagalkot,Amengad PS,2016,2,,9,Non Heinous,Convicted,Sue-moto by Police,CHEATING,CHEATING,16.1793224,75.6999315,"IPC 1860 U/s: 420 KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",,644543,188800125,"GUDUR BUS STAND PUBLIC PLACE, GUDUR BUS STAND PUBLIC PLACE",SOUTH FROM 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,2,1,0,1,2,0,1245
Bagalkot,Amengad PS,2016,2,,10,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.1793224,75.6999315,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,3 ",,1820048,97500025,"GUDUR  TO MURADI ROAD GURUPADAYYA KVATI FILEID NEA, GUDUR  TO MURADI ROAD GURUPADAYYA KVATI FILEID NEA",SOUTH FROM PS 16 KM,GUDUR TOWN BEAT NO 21,GUDUR,1,1,0,1,1,0,1245
Bagalkot,Amengad PS,2016,2,,10,Non Heinous,Other Disposal,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),15.6652841,76.1061162,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",,1898733,42900007,"ILAL VILLEGE, ILAL VILLEGE",SOUTH FROM PS 20,OP RURAL BEAT NO 28,DAMMUR,34,0,0,0,34,0,1245
Bagalkot,Amengad PS,2016,2,,10,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),16.02679,75.883537,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",,1898733,42900007,"MULLUR VILLAGE, MULLUR VILLAGE",WEST FROM PS 18 KM,RURAL BEAT NO 3,AIHOLE,13,0,0,0,13,0,1245
